quarter,year,revenue,year_revenue_growth,quarter_revenue_growth,cost_of_good_sold,gross_profit,operation_expense,operation_profit,year_operation_profit_growth,quarter_operation_profit_growth,interest_expense,pre_tax_profit,post_tax_profit,share_holder_income,year_share_holder_income_growth,quarter_share_holder_income_growth,ebitda
1,2021,23294,0.516,-0.35,-20009,3285,-4829,-1544,,,-2706,2786,868,2094,3.776,0.899,1387.0
4,2020,35821,-0.062,-0.003,-30241,5580,-9778,-4198,,,-2725,4231,1551,1103,-0.761,-0.284,-1362.0
3,2020,35914,0.138,0.537,-29613,6301,-4335,1966,-0.558,,-3004,3609,1436,1540,2.095,-0.247,4798.0
2,2020,23359,-0.404,0.52,-19945,3414,-3758,-344,,,-3073,2694,896,2046,0.502,3.666,1630.0
1,2020,15368,-0.296,-0.597,-13383,1986,-3881,-1895,,,-2618,3428,505,438,-0.578,-0.905,635.0
4,2019,38176,0.011,0.209,-29316,8860,-8935,-75,,,-2088,6255,3590,4607,0.904,8.259,3045.0
3,2019,31571,0.346,-0.195,-20291,11280,-6828,4452,1.922,-0.297,-2215,2544,712,498,-0.189,-0.635,6513.0
2,2019,39220,0.216,0.797,-26443,12777,-6441,6336,0.402,,-1437,4912,2391,1362,6.811,0.312,8456.0
1,2019,21823,-0.233,-0.422,-17044,4779,-4809,-30,,,-1400,1928,1010,1038,0.129,-0.571,1447.0
4,2018,37746,0.137,0.609,-30048,7698,-5303,2395,-0.484,0.572,-847,5477,3283,2420,0.131,2.943,3710.0
3,2018,23456,0.068,-0.272,-16902,6554,-5031,1524,-0.369,-0.663,-1055,2632,1539,614,0.56,2.519,2677.0
2,2018,32241,0.608,0.133,-24148,8093,-3574,4519,0.595,0.418,-1044,3554,736,174,-0.79,-0.81,5722.0
1,2018,28451,0.879,-0.143,-21664,6786,-3599,3187,0.952,-0.313,-994,2654,1032,919,0.038,-0.57,4299.0
4,2017,33189,0.389,0.51,-24024,9165,-4527,4638,1.8,0.92,-554,3988,2676,2139,,4.437,5519.0
3,2017,21972,1.063,0.096,-14967,7006,-4591,2415,1.284,-0.148,-1135,1786,903,393,1.244,-0.526,3397.0
2,2017,20049,1.163,0.324,-13842,6208,-3374,2833,27.687,0.735,-897,1895,1246,829,0.084,-0.064,3732.0
1,2017,15144,0.028,-0.366,-10022,5122,-3489,1633,-0.374,-0.014,-747,1247,615,886,0.138,,2736.0
4,2016,23886,0.663,1.243,-16546,7340,-5683,1657,-0.16,0.567,-1778,1578,410,-165,,,2541.0
3,2016,10650,0.469,0.149,-7246,3404,-2347,1057,0.286,9.707,-598,533,226,175,-0.313,-0.771,1840.0
2,2016,9268,0.537,-0.371,-6829,2439,-2340,99,-0.89,-0.962,-796,1859,1578,765,1.644,-0.018,912.0
1,2016,14737,1.337,0.026,-9958,4778,-2169,2610,1.09,0.324,-740,2165,1289,779,0.82,3.155,3422.0
4,2015,14367,1.312,0.981,-9807,4560,-2589,1971,0.673,1.397,-840,962,421,187,-0.472,-0.265,2171.0
3,2015,7251,-0.053,0.202,-4528,2723,-1901,823,-0.618,-0.081,-362,561,305,255,-0.713,-0.118,1154.0
2,2015,6031,-0.216,-0.044,-3900,2132,-1237,895,-0.619,-0.283,-585,572,335,289,-0.663,-0.324,1209.0
1,2015,6307,0.021,0.015,-4064,2243,-994,1249,-0.323,0.06,-541,692,357,428,-0.602,0.205,1727.0
4,2014,6213,-0.083,-0.189,-3894,2319,-1141,1178,-0.223,-0.453,-658,620,344,355,-0.568,-0.601,1461.0
3,2014,7658,-0.096,-0.004,-4829,2829,-675,2155,-0.267,-0.083,-801,1596,1229,889,-0.526,0.035,2373.0
2,2014,7692,2.582,0.246,-4796,2895,-545,2350,3.828,0.274,-740,1663,1149,859,-0.774,-0.202,2576.0
1,2014,6175,5.277,-0.089,-3765,2410,-565,1845,8.595,0.218,-512,1547,1068,1076,2.747,0.308,2055.0
4,2013,6777,1.389,-0.2,-4629,2148,-633,1515,1.27,-0.484,-479,1381,1074,822,2.751,-0.561,1748.0
3,2013,8470,5.605,2.944,-5133,3337,-398,2939,10.91,5.037,-226,2822,2012,1875,18.643,-0.506,3545.0
2,2013,2147,0.128,1.183,-1187,960,-473,487,-0.043,1.531,-375,5084,3775,3794,5.976,12.217,475.0
1,2013,984,-0.477,-0.653,-459,525,-332,192,-0.84,-0.712,-426,433,265,287,-0.597,0.309,475.0
4,2012,2836,1.389,1.212,-1774,1063,-395,668,8.631,1.706,-285,558,373,219,-0.108,1.297,1224.0
3,2012,1282,3.809,-0.326,-781,502,-255,247,4.112,-0.515,-291,219,121,95,-0.577,-0.825,366.0
2,2012,1903,3.929,0.011,-1104,799,-290,509,2.305,-0.578,-210,885,677,544,1.152,-0.236,625.0
1,2012,1883,2.972,0.586,-434,1449,-245,1204,3.707,16.368,-311,993,676,712,6.372,1.9,1312.0
4,2011,1187,-0.638,3.452,-878,309,-240,69,-0.971,0.436,-227,410,261,246,-0.884,0.089,101.0
3,2011,267,-0.139,-0.309,-123,144,-96,48,-0.682,-0.686,-191,449,351,226,3.41,-0.107,80.0
2,2011,386,1.107,-0.185,-152,234,-80,154,0.837,-0.398,-178,435,331,253,1.398,1.615,186.0
1,2011,474,3.542,-0.855,-154,320,-65,256,6.993,-0.894,-207,176,130,97,1.9,-0.954,288.0
4,2010,3276,0.854,9.579,-763,2513,-103,2409,1.062,14.887,-107,2900,2295,2117,2.432,40.368,2481.0
3,2010,310,3.437,0.69,-81,228,-77,152,7.258,0.811,-121,69,15,51,-0.466,-0.514,
2,2010,183,1.929,0.756,-56,127,-43,84,3.121,1.617,-146,117,84,105,0.915,2.162,110.0
1,2010,104,0.708,-0.941,-27,77,-45,32,1.283,-0.973,-137,56,38,33,1.882,-0.946,42.0
4,2009,1767,22.748,24.312,-564,1203,-35,1168,,62.608,0,897,689,617,97.442,5.44,
3,2009,70,-0.089,0.115,-22,48,-29,18,-0.444,-0.096,0,126,96,96,1.556,0.74,
2,2009,63,-0.031,0.024,-15,47,-27,20,-0.122,0.45,0,79,64,55,0.378,3.76,
1,2009,61,-0.027,-0.178,-13,48,-34,14,-0.489,,-62,16,10,12,-0.699,0.845,19.0
4,2008,74,0.586,-0.029,-14,60,-71,-10,,,-62,16,6,6,-0.952,-0.833,
3,2008,77,0.653,0.186,-15,61,-28,33,0.512,0.427,-64,46,39,37,-0.582,-0.062,
2,2008,65,,0.028,-16,48,-25,23,,-0.157,-9,46,39,40,,0.041,
1,2008,63,,0.339,-15,48,-20,27,,0.453,0,45,38,38,,-0.707,
4,2007,47,,0.012,-14,33,-14,19,,-0.136,0,153,131,131,,0.463,
3,2007,46,,,-14,32,-11,22,,,0,104,90,90,,,
2,2007,0,,,0,0,0,0,,,0,0,0,0,,,
1,2007,0,,,0,0,0,0,,,0,0,0,0,,,
4,2006,0,,,0,0,0,0,,,0,0,0,0,,,
3,2006,0,,,0,0,0,0,,,0,0,0,0,,,
2,2006,0,,,0,0,0,0,,,0,0,0,0,,,
1,2006,0,,,0,0,0,0,,,0,0,0,0,,,
4,2005,0,,,0,0,0,0,,,0,0,0,0,,,
3,2005,0,,,0,0,0,0,,,0,0,0,0,,,
2,2005,0,,,0,0,0,0,,,0,0,0,0,,,
1,2005,0,,,0,0,0,0,,,0,0,0,0,,,
